,FID,RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
0,0,99090701010343,9,7,1,90701,Ottawa National Forest,Bergland Ranger District,268259.981,0.127473147,2.496319406
1,1,99061503010343,6,15,3,61503,Umpqua National Forest,Diamond Lake Ranger District,316631.984,0.142026944,2.078548676
2,2,99041705010343,4,17,5,41705,Humboldt-Toiyabe National Forest,Spring Mountains National Recreation Area,322198.476,0.130775142,2.483202975
3,3,99080906010343,8,9,6,80906,Ouachita National Forest,Kiamichi Ranger District,126353.337,0.050283448,2.17155492
4,4,99090521010343,9,5,21,90521,Mark Twain National Forest,Ava/Cassville/Willow Springs Ranger District,732308.05,0.299014459,6.332210444
5,5,99020406010343,2,4,6,20406,"Grand Mesa, Uncompahgre and Gunnison National Forests",Ouray Ranger District,364348.11,0.151749192,4.073154213
6,6,99090702010343,9,7,2,90702,Ottawa National Forest,Bessemer Ranger District,358846.298,0.170036641,3.00773936
7,7,99061506010343,6,15,6,61506,Umpqua National Forest,North Umpqua Ranger District,268046.062,0.120398759,2.31427037
8,8,99090404010343,9,4,4,90404,Huron-Manistee National Forest,White Cloud Ranger District,493953.803,0.222669249,3.226988885
9,9,99041904010343,4,19,4,41904,Uinta-Wasatch-Cache National Forest,Evanston-Mountain View Ranger District,494504.776,0.213827693,3.383729945
10,10,99041206010343,4,12,6,41206,Payette National Forest,Krassel Ranger District,1065746.279,0.493408379,4.864860201
11,11,99061102010343,6,10,22,61022,Rogue River-Siskiyou National Forests,Wild Rivers Ranger District,509254.026,0.224890931,4.868221864
12,12,99091004010343,9,10,4,91004,Hiawatha National Forest,Sault Ste. Marie Ranger District,303206.228,0.143338269,1.859021945
13,13,99011202010343,1,15,12,11512,Helena-Lewis and Clark National Forest,Helena Ranger District,454532.926,0.216054762,5.79802727
14,14,99041907010343,4,19,7,41907,Uinta-Wasatch-Cache National Forest,Logan Ranger District,368949.681,0.161647171,2.779857456
15,15,99060601010343,6,6,1,60601,Mt. Hood National Forest,Barlow Ranger District,178500.588,0.08285523,1.902205599
16,16,99041308010343,4,13,8,41308,Salmon-Challis National Forest,Leadore Ranger District,328967.012,0.151223546,5.718733876
17,17,99060404010343,6,4,4,60404,Malheur National Forest,Prairie City Ranger District,390486.212,0.178090969,2.951881817
18,18,99041557010343,4,15,57,41557,Caribou-Targhee National Forest,Westside Ranger District,416464.192,0.184313938,6.643348836
19,19,99061602010343,6,16,2,61602,Wallowa-Whitman National Forest,Wallowa Valley Ranger District,356697.628,0.166527048,5.473483978
20,20,99060401010343,6,4,1,60401,Malheur National Forest,Blue Mountain Ranger District,744118.577,0.340291618,9.131030636
21,21,99020709010343,2,7,9,20709,Nebraska National Forest,Ft. Pierre Ranger District,209044.225,0.095149212,1.455517642
22,22,99011506010343,1,15,6,11506,Helena-Lewis and Clark National Forest,Judith-Musselshell Ranger District,564105.723,0.269253234,6.209311384
23,23,99060101010343,6,1,1,60101,Deschutes National Forest,Bend/Fort Rock Ranger District,1061746.112,0.480286938,5.381533443
24,24,99090507010343,9,5,7,90507,Mark Twain National Forest,Salem Ranger District,309564.541,0.127717955,2.440836194
25,25,99081005010343,8,10,5,81005,Ozark-St. Francis National Forest,Boston Mountain Ranger District,308962.602,0.124581871,2.977949347
26,26,99011104010343,1,11,4,11104,Custer Gallatin National Forest,Yellowstone Ranger District,794292.372,0.370254978,7.194110953
27,27,99041004010343,4,10,4,41004,Manti-La Sal National Forest,Moab Ranger District,174410.273,0.072861673,2.963345422
28,28,99061708010343,6,17,8,61708,Okanogan-Wenatchee National Forest,Naches Ranger District,560541.671,0.267382429,3.40426592
29,29,99050653010343,5,6,53,50653,Lassen National Forest,Hat Creek Ranger District,541876.456,0.234118413,6.922739436
30,30,99011006010343,1,10,6,11006,Flathead National Forest,Hungry Horse Ranger District,453086.81,0.222066586,3.366773798
31,31,99080705010343,8,7,5,80705,National Forests in Mississippi,Chickasawhay Ranger District,193951.557,0.074506896,1.477889102
32,32,99031003010343,3,10,3,31003,Santa Fe National Forest,Jemez Ranger District,245636.817,0.099080203,2.105634248
33,33,99061605010343,6,16,5,61605,Wallowa-Whitman National Forest,Eagle Cap Ranger District,391533.402,0.181629848,3.200605595
34,34,99011501010343,1,15,1,11501,Helena-Lewis and Clark National Forest,Rocky Mountain Ranger District,783923.209,0.380592885,5.049062969
35,35,99092101010343,9,21,1,92101,Monongahela National Forest,Cheat Ranger District,257581.018,0.108511068,1.877792887
36,36,99061402010343,6,14,2,61402,Umatilla National Forest,Heppner Ranger District,229818.381,0.106162958,3.409666058
37,37,99080905010343,8,9,5,80905,Ouachita National Forest,Jessieville Ranger District,248905.44,0.099140865,1.886442995
38,38,99030802010343,3,8,2,30802,Lincoln National Forest,Sacramento Ranger District,549067.408,0.213959534,2.686793999
39,39,99021510010343,2,15,10,21510,White River National Forest,Dillon Ranger District,389954.25,0.165556417,2.67054829
40,40,99021308010343,2,13,8,21308,San Juan National Forest,Columbine Ranger District,763669.445,0.314931494,3.714736911
41,41,99040205010343,4,2,5,40205,Boise National Forest,Lowman Ranger District,468938.635,0.213804573,2.970376748
42,42,99011706010343,1,17,6,11706,Nez Perce-Clearwater National Forest,Moose Creek Ranger District,822617.024,0.387315184,4.647900255
43,43,99080306010343,8,3,6,80306,Chattahoochee-Oconee National Forests,Chattooga River Ranger District,452013.464,0.180145483,3.834970742
44,44,99050757010343,5,7,57,50757,Los Padres National Forest,Mt. Pinos Ranger District,493625.377,0.196695311,3.433901083
45,45,99090402010343,9,4,2,90402,Huron-Manistee National Forest,Cadillac Ranger District,217031.039,0.098942906,2.80624975
46,46,99011507010343,1,15,7,11507,Helena-Lewis and Clark National Forest,Belt Creek-White Sulphur Springs Ranger District,654431.118,0.312106791,5.896782818
47,47,99091301010343,9,13,1,91301,Chequamegon-Nicolet National Forest,Medford-Park Falls Ranger District,346779.01,0.161765276,2.727829562
48,48,99040307010343,4,3,7,40307,Bridger-Teton National Forest,Pinedale Ranger District,827879.068,0.370220872,5.618957908
49,49,99051459010343,5,14,59,51459,Shasta-Trinity National Forest,Mt. Shasta Ranger District,383605.57,0.166721004,6.426781132
50,50,99091902010343,9,19,2,91902,Allegheny National Forest,Marienville Ranger District,367113.051,0.16028866,3.344787439
51,51,99061501010343,6,15,1,61501,Umpqua National Forest,Cottage Grove Ranger District,88730.257,0.040066673,1.038434346
52,52,99081006010343,8,10,6,81006,Ozark-St. Francis National Forest,Magazine Mountain Ranger District,132417.669,0.053040913,1.672002951
53,53,99060501010343,6,5,1,60501,Mt. Baker-Snoqualmie National Forest,Mt. Baker Ranger District,556067.449,0.274718466,6.60785119
54,54,99092202010343,9,22,2,92202,White Mountain National Forest,Androscoggin Ranger District,239236.341,0.109349195,4.037901681
55,55,99080101010343,8,1,1,80101,National Forests in Alabama,Bankhead Ranger District,348735.861,0.138084407,2.326721709
56,56,99040103010343,4,1,3,40103,Ashley National Forest,Roosevelt Ranger District,339843.917,0.146459275,2.134733794
57,57,99080912010343,8,9,12,80912,Ouachita National Forest,Tiak Ranger District,444936.429,0.175890761,3.23961404
58,58,99060505010343,6,5,5,60505,Mt. Baker-Snoqualmie National Forest,Snoqualmie Ranger District,536774.313,0.258311312,6.446257134
59,59,99021005010343,2,10,5,21005,Arapaho and Roosevelt National Forests,Canyon Lakes Ranger District,839116.047,0.361714527,5.199125387
60,60,99091304010343,9,13,4,91304,Chequamegon-Nicolet National Forest,Lakewood-Laona Ranger District,536465.272,0.2495922,3.877442831
61,61,99081107010343,8,11,7,81107,National Forests in North Carolina,Pisgah Ranger District,311086.809,0.124780122,2.223282155
62,62,99090907010343,9,9,7,90907,Superior National Forest,Tofte Ranger District,739307.99,0.358943361,3.420474302
63,63,b38c20d7-81d6-4918-99ce-c4cc93004f5f,5,5,54,50554,Klamath National Forest,Salmon River Ranger District,371773.336,0.161647389,2.239045528
64,64,99041701010343,4,17,1,41701,Humboldt-Toiyabe National Forest,Carson Ranger District,601511.531,0.253163718,6.767083456
65,65,99051757010343,5,17,57,51757,Tahoe National Forest,Truckee Ranger District,247235.479,0.104482697,3.463096365
66,66,99091302010343,9,13,2,91302,Chequamegon-Nicolet National Forest,Great Divide Ranger District,457570.639,0.215566219,2.553309114
67,67,99081105010343,8,11,5,81105,National Forests in North Carolina,Grandfather Ranger District,429209.075,0.173514748,4.106409072
68,68,99092102010343,9,21,6,92106,Monongahela National Forest,White Sulphur Ranger District,147388.5,0.061160277,1.738472833
69,69,99050351010343,5,3,51,50351,Eldorado National Forest,Amador Ranger District,195405.308,0.081760095,3.452184064
70,70,99041201010343,4,12,1,41201,Payette National Forest,Council Ranger District,375483.134,0.172986343,3.709536952
71,71,99100534010343,10,5,34,100534,Tongass National Forest,Admiralty National Monument,1019255.04,0.620292565,20.71129031
72,72,99051101010343,5,11,1,51101,Plumas National Forest,Beckwourth Ranger District,492556.063,0.210076558,6.479448225
73,73,99051354010343,5,13,54,51354,Sequoia National Forest,Kern River Ranger District,663351.396,0.267661605,5.983092258
74,74,99010802010343,1,11,82,11182,Custer Gallatin National Forest,Beartooth Ranger District,603732.391,0.279895193,4.601801465
75,75,99080308010343,8,3,8,80308,Chattahoochee-Oconee National Forests,Oconee Ranger District,276261.735,0.108316246,3.971910436
76,76,99050954010343,5,9,54,50954,Modoc National Forest,Big Valley Ranger District,495241.585,0.215320976,5.505287187
77,77,99041551010343,4,15,51,41551,Caribou-Targhee National Forest,Dubois Ranger District,458070.499,0.209160955,6.074745878
78,78,99060902010343,6,9,2,60902,Olympic National Forest,Hood Canal Ranger District/Quilcene,157090.127,0.076412443,1.622311146
79,79,99081304010343,8,13,4,81304,National Forests in Texas,Sam Houston Ranger District,495315.845,0.188424321,3.213790503
80,80,99091204010343,9,12,4,91204,Hoosier National Forest,Tell City Ranger District,364656.443,0.151910979,2.760442174
81,81,99090504010343,9,5,4,90504,Mark Twain National Forest,Poplar Bluff Ranger District,339182.211,0.138881077,2.006763407
82,82,99051653010343,5,16,53,51653,Stanislaus National Forest,Summit Ranger District,308933.844,0.128710955,1.948348624
83,83,99011001010343,1,10,1,11001,Flathead National Forest,Swan Lake Ranger District,518181.093,0.251403062,8.819185534
84,84,99030408010343,3,4,8,30408,Coconino National Forest,Flagstaff Ranger District,945954.916,0.378830356,5.024401561
85,85,99092105010343,9,21,5,92105,Monongahela National Forest,Potomac Ranger District,291564.734,0.122429404,2.878108688
86,86,99041203010343,4,12,3,41203,Payette National Forest,New Meadows Ranger District,287112.72,0.132925192,3.029108975
87,87,99030605010343,3,6,5,30605,Gila National Forest,Wilderness Ranger District,685129.041,0.268061306,3.091474181
88,88,99030202010343,3,2,2,30202,Carson National Forest,El Rito Ranger District,280471.37,0.114081321,2.267990514
89,89,99030302010343,3,3,2,30302,Cibola National Forest,Mount Taylor Ranger District,653687.095,0.262048883,4.947077328
90,90,99090503010343,9,5,3,90503,Mark Twain National Forest,Houston/Rolla/Cedar Creek Ranger District,579156.931,0.239794991,4.696120661
91,91,99080301010343,8,3,1,80301,Chattahoochee-Oconee National Forests,Conasauga Ranger District,484335.157,0.192899382,3.629593747
92,92,99081102010343,8,11,2,81102,National Forests in North Carolina,Cheoah Ranger District,205349.027,0.082402464,1.569137703
93,93,99090302010343,9,3,2,90302,Chippewa National Forest,Walker Ranger District,478866.021,0.229797763,2.654478887
94,94,99060609010343,6,6,9,60609,Mt. Hood National Forest,Zigzag Ranger District,266679.211,0.123915995,2.644600196
95,95,99020301010343,2,3,1,20301,Black Hills National Forest,Bearlodge Ranger District,202625.501,0.092713405,6.303858559
96,96,99090406010343,9,4,6,90406,Huron-Manistee National Forest,Tawas Ranger District,198792.072,0.090898296,2.173840761
97,97,99050658010343,5,6,58,50658,Lassen National Forest,Eagle Lake Ranger District,397018.986,0.170906318,5.39647211
98,98,99031202010343,3,12,2,31202,Tonto National Forest,Globe Ranger District,471080.481,0.184931189,3.475214002
99,99,99031205010343,3,12,5,31205,Tonto National Forest,Pleasant Valley Ranger District,437190.565,0.172713082,2.282961777
100,100,99100410010343,10,4,10,100410,Chugach National Forest,Glacier Ranger District,2600495.976,1.7327247,65.43849901
101,101,99031005010343,3,10,5,31005,Santa Fe National Forest,Pecos-Las Vegas Ranger District,546995.192,0.220326964,4.665813542
102,102,99021007010343,2,10,7,21007,Arapaho and Roosevelt National Forests,Clear Creek Ranger District,203540.046,0.086504564,3.837759014
103,103,99011007010343,1,10,7,11007,Flathead National Forest,Glacier View Ranger District,343791.395,0.170080194,3.59008227
104,104,99092205010343,9,22,5,92205,White Mountain National Forest,Saco Ranger District,283321.891,0.128877834,3.957288261
105,105,99060903010343,6,9,3,60903,Olympic National Forest,Pacific Ranger District/Quinault,147023.649,0.070987945,2.812519353
106,106,99091002010343,9,10,2,91002,Hiawatha National Forest,Manistique Ranger District,198266.808,0.093264497,1.653129905
107,107,99021202010343,2,12,2,21202,Pike and San Isabel National Forests,Salida Ranger District,504269.308,0.211147716,4.942579258
108,108,99090902010343,9,9,2,90902,Superior National Forest,Gunflint Ranger District,644051.342,0.313913817,4.261090325
109,109,99050353010343,5,3,53,50353,Eldorado National Forest,Georgetown Ranger District,193082.902,0.081178026,2.490936532
110,110,99080701010343,8,7,1,80701,National Forests in Mississippi,Bienville Ranger District,388448.533,0.150454833,2.043224426
111,111,99011106010343,1,11,6,11106,Custer Gallatin National Forest,Bozeman Ranger District,560154.972,0.261003851,6.022967328
112,112,99010201010343,1,2,1,10201,Beaverhead-Deerlodge National Forest,Dillon Ranger District,579820.221,0.267801975,9.35594759
113,113,99030305010343,3,3,5,30305,Cibola National Forest,Sandia Ranger District,121609.824,0.048662198,1.378235164
114,114,23010724,2,2,1,20201,Bighorn National Forest,Powder River Ranger District,334338.557,0.15243511,2.320624598
115,115,99092206010343,9,22,6,92206,White Mountain National Forest,Massabesic Experimental Forest,11790.618,0.005310159,0.494303703
116,116,99041401010343,4,14,1,41401,Sawtooth National Forest,Minidoka Ranger District,632639.528,0.278916056,6.275933549
117,117,99050453010343,5,4,53,50453,Inyo National Forest,White Mountain Ranger District,849963.807,0.350374384,5.938543306
118,118,99010406010343,1,4,6,10406,Idaho Panhandle National Forests,Sandpoint Ranger District,393661.546,0.192832134,8.417906575
119,119,99010803010343,1,11,83,11183,Custer Gallatin National Forest,Sioux Ranger District,176981.829,0.082650068,5.273446659
120,120,99051652010343,5,16,52,51652,Stanislaus National Forest,Calaveras Ranger District,329506.565,0.137485634,3.547550692
121,121,99080103010343,8,1,3,80103,National Forests in Alabama,Conecuh Ranger District,171329.656,0.065544767,1.632964473
122,122,99050252010343,5,2,52,50252,Cleveland National Forest,Trabuco Ranger District,160639.476,0.063188731,1.42558244
123,123,99010301010343,1,3,1,10301,Bitterroot National Forest,Stevensville Ranger District,251492.543,0.119166916,3.903499098
124,124,99081003010343,8,10,3,81003,Ozark-St. Francis National Forest,Bayou Ranger District,301006.578,0.121139138,2.037835387
125,125,99020203010343,2,2,3,20203,Bighorn National Forest,Medicine Wheel Ranger District,364531.511,0.167408596,3.448732924
126,126,99081203010343,8,12,3,81203,Francis Marion and Sumter National Forests,Long Cane Ranger District,424273.558,0.167369839,3.389352981
127,127,99040201010343,4,2,1,40201,Boise National Forest,Mountain Home Ranger District,734791.741,0.331241482,4.866857909
128,128,99040801010343,4,8,1,40801,Fishlake National Forest,Fillmore Ranger District,493436.615,0.207506909,3.878488148
129,129,99041002010343,4,10,2,41002,Manti-La Sal National Forest,Ferron Ranger District,333253.279,0.140623087,2.256744651
130,130,99090804010343,9,8,4,90804,Shawnee National Forest,Hidden Springs Ranger District,556396.607,0.229452825,3.531567468
131,131,99040804010343,4,8,4,40804,Fishlake National Forest,Richfield Ranger District,460428.16,0.193006503,4.517435208
132,132,99090403010343,9,4,3,90403,Huron-Manistee National Forest,Manistee Ranger District,244667.312,0.111456423,2.426218218
133,133,99061105010343,6,10,28,61028,Rogue River-Siskiyou National Forests,Powers Ranger District,162340.066,0.072242411,2.268300188
134,134,99100522010343,10,5,22,100522,Tongass National Forest,Wrangell Ranger District,1738300.025,1.023521754,36.03416367
135,135,99021305010343,2,13,5,21305,San Juan National Forest,Mancos/Dolores Ranger District,632767.363,0.261422352,4.296608324
136,136,99080107010343,8,1,7,80107,National Forests in Alabama,Tuskegee Ranger District,15649.837,0.006074997,0.50843812
137,137,99040104010343,4,1,4,40104,Ashley National Forest,Duchesne Ranger District,365908.74,0.15670969,4.042815222
138,138,99020702010343,2,7,2,20702,Nebraska National Forest,Pine Ridge Ranger District,355082.906,0.158168285,4.054364177
139,139,99030204010343,3,2,4,30204,Carson National Forest,Camino Real Ranger District,339460.069,0.137647534,2.663972599
140,140,99011201010343,1,15,11,11511,Helena-Lewis and Clark National Forest,Townsend Ranger District,372748.424,0.176718763,4.697869041
141,141,99040704010343,4,7,4,40704,Dixie National Forest,Escalante Ranger District,436975.068,0.181131049,2.891260179
142,142,99011405010343,1,14,5,11405,Kootenai National Forest,Libby Ranger District,877069.091,0.430273713,11.50004978
143,143,99020907010343,2,9,7,20907,Rio Grande National Forest,Saguache Ranger District,528013.921,0.21948728,6.673350058
144,144,99050651010343,5,6,51,50651,Lassen National Forest,Almanor Ranger District,549816.542,0.235456398,8.757516348
145,145,99030306010343,3,3,6,30306,Cibola National Forest,Black Kettle National Grassland,244456.075,0.09849374,1.694530161
146,146,99081301010343,8,13,1,81301,National Forests in Texas,Angelina Ranger District,398146.476,0.152519718,3.733578456
147,147,99051255010343,5,12,55,51255,San Bernardino National Forest,San Jacinto Ranger District,249175.377,0.098052599,2.19267175
148,148,99081601010343,8,16,1,81601,El Yunque National Forest,Catalina Field Office,55812.379,0.019300212,0.753808978
149,149,11010724,6,21,12,62112,Colville National Forest,Three Rivers Ranger District,547875.5,0.270836105,7.926190696
150,150,99090505010343,9,5,5,90505,Mark Twain National Forest,Potosi / Fredericktown Ranger District,605865.429,0.25046001,4.556847512
151,151,99030607010343,3,6,7,30607,Gila National Forest,Silver City Ranger District,405764.778,0.158085666,4.660798985
152,152,99051754010343,5,17,54,51754,Tahoe National Forest,American River Ranger District,235338.636,0.099258778,2.650103222
153,153,99080706010343,8,7,6,80706,National Forests in Mississippi,Delta Ranger District,120747.749,0.047016784,1.494111498
154,154,99030604010343,3,6,4,30604,Gila National Forest,Glenwood Ranger District,525643.052,0.206016317,3.371100579
155,155,99091202010343,9,12,2,91202,Hoosier National Forest,Brownstown Ranger District,282292.399,0.118536684,2.992478478
156,156,99092103010343,9,21,3,92103,Monongahela National Forest,Greenbrier Ranger District,402327.545,0.168427473,2.409900893
157,157,99092005010343,9,20,5,92005,Green Mountain and Finger Lakes National Forests,Rochester Ranger District,119267.066,0.054080121,3.44097995
158,158,99080216010343,8,2,16,80216,Daniel Boone National Forest,Stearns Ranger District,379998.15,0.1551475,2.966947955
159,159,99011604010343,1,16,4,11604,Lolo National Forest,Ninemile Ranger District,471631.951,0.22567453,6.080653386
160,160,99061404010343,6,14,4,61404,Umatilla National Forest,Pomeroy Ranger District,347550.626,0.163651339,3.665035044
161,161,99092003010343,9,20,3,92003,Green Mountain and Finger Lakes National Forests,Hector Ranger District,16811.219,0.007453027,1.969072581
162,162,99091305010343,9,13,5,91305,Chequamegon-Nicolet National Forest,Washburn Ranger District,235235.987,0.111562732,2.113853184
163,163,99011607010343,1,16,7,11607,Lolo National Forest,Superior Ranger District,517194.655,0.248737532,6.475099526
164,164,99011801010343,1,18,1,11801,Dakota Prairie Grasslands,Sheyenne Ranger District,136912.863,0.064865655,1.646073984
165,165,99041001010343,4,10,1,41001,Manti-La Sal National Forest,Sanpete Ranger District,259406.045,0.109804752,3.823664464
166,166,99030901010343,3,9,1,30901,Prescott National Forest,Chino Valley Ranger District,646077.645,0.257892748,4.415508792
167,167,99090706010343,9,7,6,90706,Ottawa National Forest,Watersmeet Ranger District,261339.148,0.123490439,1.675650749
